id	description	en	local
		Functions	Funções
		Television	Televisão
		Crate	engradado
		Basketball	Basquetebol
		Collectable	cobrável
		Chair	Cadeira
		Food Trolley	Food Trolley
		Medical Trolley	Trolley médico
		Office Chair	Cadeira de escritório
		Book	Livro
		Bottle	Garrafa
		Frying Pan	Frigideira
		Mug	Caneca
		Saucepan	Panela
		Stool	Banqueta
		Telescope	Telescópio
		Log	Registro
		Bin	caixa
		Book 2	livro 2
		Loot	Saque
		Barrel	Barril
		Blue Barrel	azul Barrel
		Buoyancy Ring	flutuabilidade Anel
		Container	Recipiente
		Gas Canister	Botijão de gás
		Pallet	palheta
		Storage Bin	armazenamento Bin
		Fire Extinguisher	Extintor de incêndio
		Tool Trolley	ferramenta Trolley
		Cafetiere	cafeteira
		Tool Drawer	ferramenta de gaveta
		Glass	Vidro
		Microwave	Microondas
		Plate	Prato
		Box (Closed)	Box (Fechado)
		Box (Open)	Box (Open)
		Desk Lamp	Lâmpada de mesa
		Eraser Board	Eraser Board
		Folder	Pasta
		Funnel	Funil
		Lamp	Luminária
		Microscope	Microscópio
		Notebook	Caderno
		Pen Marker	Pena de marcador
		Pencil	Lápis
		Scales	balança
		Beaker	Taça
		Cylinder	Cilindro
		Flask	Frasco
		Tub 1	tub 1
		Tub 2	tub 2
		File Stack	arquivo Stack
		Toxic Barrel	Toxic Barrel
		Debris	Detritos
		Schematic	esquemático
		Clothing	Roupas
		Unknown	Desconhecido
		Tag	etiqueta
		Marker Text	marcador de texto
		Spawn Relative to Sea Floor	Relativa desova to Floor Mar
		Zone Type	Tipo de imóvel Região
		Box	Caixa
		Radius	Raio
		Type	Tipo
		Outfit	Equipamento
		Civilian	Civil
		Worker	Trabalhador
		Fishing	pescaria
		Waiter	Garçom
		Swimsuit	roupa de banho
		Military	Militares
		Office	Escritório
		Medical	Médico
		Wetsuit	wetsuit
		Survivor	Sobrevivente
		NPC	NPC
		Is Static	é estática
		Is Lit	Está acesa
		Fire Size	fogo Tamanho
		Loot Type	Loot Tipo
		Crate (floats)	Caixote (flutuadores)
		Chest (sinks)	Chest (pias)
		Button's Display Name	Exibição de Button Nome
		Zone	Zona
		Object	Objeto
		Flare	alargamento
		Fire	Fogo
		Vehicle Button	Botão veículo
		Mission Component	Componente missão
		Mission playlists you've uploaded to the Steam Workshop.	playlists missão que você carregou ao Steam Workshop.
		No description	No description
		SELECT LOCATION	LOCALIZAÇÃO SELECIONAR
		Playlist Name	Nome Playlist
		Location	Localização
		Delete Location	Cancelar Região
		Select Location	Selecionar Local
		Edit Objects	Editar objetos
		Add Unique Location	Adicionar localização única
		LOCATIONS	LOCALIZAÇÕES
		MISSION NAME	MISSÃO NOME
		Test Mission	missão de teste
		Delete Mission	Missão de exclusão
		Edit Mission	Edit Mission
		Add Mission	Adicionar Mission
		Colour	Cor
		PROPERTIES	PROPRIEDADES
		on/off	Ligado desligado
		number	número
		fluid	fluido
		electric	elétrico
		composite	composto
		Police Outfit	polícia Outfit
		Scientist Outfit	cientista Outfit
		MISSION	MISSÃO
		CLICK FOR MORE DETAILS	CLIQUE PARA MAIS DETALHES
		Set Waypoint	Set Waypoint
		Remove Waypoint	Remover Waypoint
		Center Waypoint	centro de Waypoint
		Center Active Mission	Missão Centro Ativo
		Mark Active Mission	Mark Missão Ativo
		Center Player	centro Jogador
		Wake	Despertar
		Sleep	Dormir
		(all players must be sleeping to fast-forward)	(Todos os jogadores devem estar dormindo para fast-forward)
		PURCHASE ISLAND	ILHA DE COMPRA
		Bank	Banco
		Total	Total
		Police Hat	Chapéu da polícia
		NEW MISSION PLAYLIST	NOVA MISSÃO PLAYLIST
		Add/Remove Components	Adicionar / Remover Componentes
		Mission Dependencies	missão Dependências
		Set Mission Depencies	Set Missão Depencies
		A mission will only spawn in career mode if all of its dependencies are met.	A missão só vai aparecer no modo carreira, se todas as suas dependências são atendidas.
		No depenencies set.	Não depenencies definido.
		Components	componentes
		Mission Name	Nome missão
		Requirements	requisitos
		Requirements must be met for this mission to spawn in career mode.	Requisitos devem ser atendidos para esta missão para desovar no modo carreira.
		Small Boat	Barco pequeno
		Large Boat	Grande Boat
		Plane	Avião
		Helicopter	Helicóptero
		Fire Equipment	Equipamento de fogo
		Influences the overall reward value generated for this mission in career mode.	Influencia o valor global recompensa gerado para esta missão no modo carreira.
		Easy	Fácil
		Hard	Difícil
		Expert	Especialista
		This mission will only spawn in career mode if the environment is within these parameters.	Esta missão só vai aparecer em modo de carreira se o ambiente é dentro destes parâmetros.
		Fog Intensity	nevoeiro Intensidade
		Rain Intensity	Intensidade da chuva
		Wind Intensity	Intensidade do vento
		Inactive until triggered	Inativo até desencadeada
		Hide markers	esconder marcadores
		Has time limit	Tem limite de tempo
		Timer paused	temporizador em pausa
		Time Limit (h:m:s)	Limite do tempo (h: m: s)
		Delete Objective	Objetivo Excluir
		Set Objective Dependencies	Definir dependências Objectivo
		Add Objective	Adicionar Objective
		Delete Trigger	Excluir Gatilho
		Configure Trigger	Configurar Gatilho
		Configure Action	Configurar Ação
		Add Trigger	Adicionar Gatilho
		No mission selected. Select a mission in the playlist overview to begin editing.	Nenhuma missão selecionada. Selecione uma missão na visão geral lista de reprodução para iniciar a edição.
		NEW VEHICLE	NOVO VEÍCULO
		NEW MICROCONTROLLER	NOVO MICROCONTROLLER
		Hold ### to enable multi-linking	Segure ### para permitir multi-linking
		Press ### to focus on hovered blocks	Imprensa ### para se concentrar em blocos pairou
		Press ### to focus on hovered logic nodes	Imprensa ### para se concentrar em nós lógica pairou
		Press ### to focus on highlighted components	Imprensa ### para se concentrar em componentes destacados
		Hold ### to change drag plane	Espera ### para mudança de plano de arrastar
		Press ### to rotate selection	Imprensa ### a selecção rotate
		Press ### to flip selection	Imprensa ### a selecção aleta
		Press ### to show/hide vehicle	Imprensa ### para exibir / ocultar veículo
		Hold ### to eyedrop component	Reter ### a componente eyedrop
		Hold ### to eyedrop color	Reter ### a cor eyedrop
		Hold ### to select component	Espera ### para seleccionar Component
		Hold ### to expand to component	Segure ### para expandir a componente
		Hold ### to place multiple	Espera ### para o lugar de múltipla
		Remove Vehicle from Zone	Remover Veículo da Zona
		Create Structure	Criar estrutura
		Create Vehicle	Criar Veículo
		Edit Structure in Zone	Editar Estrutura em Zona
		Edit Vehicle in Zone	Editar Veículo na Zona
		Too Many Structures in Zone	Too muitas estruturas na zona
		Too Many Vehicles in Zone	Too muitos veículos na Zona
		Ladder	Escada
		Collect Present	Presente Recolha
		Collect Loot	Loot Recolha
		Pick Up	Pegar
		Default State	Estado padrão
		Hold Duration	espera Duração
		Min Value	Valor min
		Max Value	Valor máximo
		Start Value	Valor Inicial
		Output Label	Rótulo de saída
		Output A Label	Etiqueta A saída
		Output B Label	Rótulo de saída B
		Color Mode	Modo de cor
		RGB	RGB
		HSV	HSV
		Composite Channels	Canais composite
		Red/Hue	Red / Hue
		Green/Sat	Verde / Sat
		Blue/Val	Azul / Val
		Instrument 1	instrumento 1
		Instrument 2	instrumento 2
		Instrument 3	instrumento 3
		Instrument 4	instrumento 4
		Display Name	Nome em Exibição
		Dial	discar
		Indicator	Indicador
		Gauge	Calibre
		Arrow Button	seta Botão
		Flip Switch	flip interruptor
		Seven Segment	sete segmentos
		Radial Segment	Segmento radial
		Bar Segment	Segmento bar
		Max Power	Poder maximo
		RPS Limiter	RPS Limitador
		Blade Count	Conde lâmina
		2 Blades	2 Blades
		3 Blades	3 Blades
		4 Blades	4 Blades
		5 Blades	5 Blades
		6 Blades	6 Blades
		7 Blades	7 Blades
		8 Blades	8 Blades
		Blade Pitch	lâmina de pitch
		positive	positivo
		neutral	neutro
		Min Throttle	min acelerador
		Max Throttle	Max acelerador
		Decimal Point Position	Posição do ponto decimal
		Decimals Disabled	decimais pessoas com mobilidade condicionada
		Sound Type	Tipo de som
		Warning 1	aviso 1
		Warning 2	aviso 2
		Warning 3	aviso 3
		Beep 1	Beep 1
		Beep 2	Beep 2
		Seatbelt	Cinto de segurança
		Volume	Volume
		Roll	Lista
		Pitch	breu
		Yaw	Guinada
		Preview	visualização
		Blink On Duration	Blink On Duração
		Blink Off Duration	Blink Off Duração
		Delay Timer	Temporizador
		Low Threshold	Baixo limiar
		High Threshold	alta Threshold
		Output Value	Valor de saída
		Proportional Gain	Ganho proporcional
		Integral Gain	Ganho Integral
		Derivative Gain	derivado Gain
		Reset Value	Valor de reset
		Charge Time	Hora de carregar
		Discharge Time	descarga Tempo
		Sensor Mode	Modo Sensor
		Absolute	Absoluto
		Directional	Direcional
		Horizontal	Horizontal
		Vertical	Vertical
		Function	Função
		Inverse Sine	inverse Sine
		Inverse Cosine	inverse Cosine
		Inverse Tangent	inverse Tangent
		Exponent	Expoente
		No properties exposed.	Nenhuma propriedade exposta.
		Speed	Rapidez
		Max Power	Poder maximo
		Gear Ratio	gear Ratio
		Parachute Size	Parachute Tamanho
		Label	Rótulo
		Mode	Modo
		Sticky	Pegajoso
		Toggle	Alternancia
		Push	Empurrar
		Trim	aparar
		Trim Axis 1	Eixo uma guarnição
		Trim Axis 2	Guarnição eixo 2
		Trim Axis 3	Eixo 3 guarnição
		Trim Axis 4	Eixo guarnição 4
		Spring Strength	força da primavera
		Ratio 1	rácio 1
		Ratio 2	rácio 2
		Fluid Type	Tipo de fluido
		Water	Água
		Empty	Esvaziar
		Allow Water	permitir água
		Allow Diesel	permitir Diesel
		Allow Jet Fuel	Permitir Jet Fuel
		Allow Air	permitir Air
		Allow Exhaust	permitir escape
		Allow Crude Oil	Permitir petróleo bruto
		Grip	Firmeza
		Tyre Tread	Tire Tread
		All Round	All Round
		High Speed	Alta velocidade
		High Grip	alta aderência
		Stiffness	rigidez
		Damping	Amortecimento
		Tyre Radius	Tire Radius
		Tyre Pressure	Pressão dos pneus
		Track Tension	pista Tension
		VIDEO	VÍDEO
		Edit video transfer nodes.	Editar nós de transferência de vídeo.
		video	vídeo
		Edit audio transfer nodes.	Editar nós de transferência de áudio.
		audio	auditivo
		ROPE	CORDA
		Edit rope transfer nodes.	Editar nós de transferência de corda.
		rope	corda
		ROPE	CORDA
		sail	vela
		Edit rope transfer nodes.	Editar nós de transferência de corda.
		LUA SCRIPTING OVERVIEW	LUA SCRIPTING PANORAMA
		Lua scripting gives you the tools to create advanced logic components using the Lua scripting language. Stormworks provides a number of functions to allow your script to interface with your vehicle's logic system, as well as drawing to in-game monitors.\n\nThis guide outlines the functions that are available for use in your scripts but it is not a comprehensive tutorial on using the Lua language.	Lua scripting lhe dá as ferramentas para criar componentes de lógica avançados que utilizam a linguagem de script Lua. Stormworks fornece uma série de funções para permitir que seu script para fazer a interface com o sistema de lógica do seu veículo, bem como desenho de monitores no jogo. \ N guia \ n Este descreve as funções que estão disponíveis para uso em seus scripts, mas não é uma abrangente tutorial sobre como usar a linguagem Lua.
		SCRIPT BASICS	SCRIPT BÁSICO
		The tick function will be called once every logic tick and should be used for reading composite data and any required processing. Screen functions will have no effect if called within onTick.	A função de carrapato será chamado uma vez a cada tick lógica e deve ser usado para leitura de dados compostos e qualquer processamento necessário. funções de tela não terá nenhum efeito se for chamado dentro onTick.
		The draw function will be called any time this script is drawn by a monitor. Note that it can be called multiple times if this microcontroller is connected to multiple monitors whereas onTick is only called once. Composite input/output functions will have no effect if called within onDraw.	A função sorteio será chamado a qualquer momento esse script é desenhada por um monitor. Note-se que ele pode ser chamado várias vezes se este microcontrolador é ligado a vários monitores, enquanto onTick só é chamado uma vez. funções de entrada / saída composta terá nenhum efeito se chamado dentro onDraw.
		COMPOSITE INPUT/OUTPUT	Entrada composta / OUTPUT
		PROPERTIES	PROPRIEDADES
		Read the values of property components within this microcontroller directly. The label passed to each function should match the label that has been set for the property you're trying to access (case-sensitive).	Leia os valores de componentes de propriedade dentro deste microcontrolador diretamente. A etiqueta passado para cada função deve corresponder ao rótulo que foi definido para o imóvel que você está tentando acessar (maiúsculas e minúsculas).
		Read values from the composite input. Index ranges from 1 - 32.	Ler valores da entrada de composto. Índice varia 1-32.
		Set values on the composite output. Index ranges from 1 - 32.	Valores estabelecidos na saída de vídeo composto. Índice varia 1-32.
		DRAWING	DESENHANDO
		Set the current draw colour. Values range from 0 - 255.	Defina a cor de corrente. Os valores variam 0-255.
		Set the current draw colour and transparency. Values range from 0 - 255.	Defina a cor de corrente e transparência. Os valores variam 0-255.
		Clear the screen with the current colour.	Limpar a tela com a cor atual.
		Draw line from (x1, y1) to (x2, y2).	Desenhar linha de (x1, y1) para (x2, y2).
		Draw circle at (x, y) with radius.	Desenhar círculo em (x, y) com raio.
		Draw filled circle at (x, y) with radius.	Desenhar círculo cheio em (x, y) com raio.
		Draw rectangle at (x, y) with width and height.	Desenhar rectângulo em (X, Y) com largura e altura.
		Draw filled rectangle at (x, y) with width and height.	Desenhar rectângulo preenchido em (X, Y) com largura e altura.
		Draw triangle between (x1, y1), (x2, y2) and (x3, y3).	Desenhar triângulo entre (x1, y1), (x2, y2) e (x3, y3).
		Draw filled triangle between (x1, y1), (x2, y2) and (x3, y3).	Desenhar triângulo a cheio entre (x1, y1), (x2, y2) e (x3, y3).
		Draw text at (x, y). Each character is 4 pixels wide and 5 pixels tall.	Desenhar texto em (x, y). Cada personagem é de 4 pixels de largura e 5 pixels de altura.
		Draw text within the rectangle at (x, y) with width and height. Text alignment can be specified using the last two parameters and ranges from -1 to 1 (left to right, top to bottom). If either of the alignment parameters are omitted, the text will be drawn top-left by default. Text will automatically wrap at spaces when possible, and will overflow the top/bottom of the specified rectangle if too large.	Desenhar texto no interior do rectângulo em (X, Y) com largura e altura. alinhamento do texto pode ser especificado usando os dois últimos parâmetros e varia entre -1 e 1 (da esquerda para a direita, de cima para baixo). Se qualquer um dos parâmetros de alinhamento são omitidos, o texto será elaborado por padrão deixou-top. Texto vai embrulhar automaticamente em espaços quando possível, e vai transbordar parte superior / inferior do retângulo especificado se muito grande.
		Draw the world map centred on map coordinate (x,y) with zoom level ranging from 0.1 to 50.	Desenhar o mapa do mundo centrada no mapa de coordenadas (x, y) com o nível de zoom que varia de 0,1 a 50.
		Set the colours used for rendering the map. Values range from 0 - 255, alpha is optional.	Defina as cores utilizadas para renderizar o mapa. Os valores variam 0-255, alfa é opcional.
		Get the width/height of the screen currently being rendered to.	Obter a largura / altura do ecrã a ser prestado a.
		MAP	MAPA
		Convert pixel coordinates into world coordinates.	Converter coordenadas de pixel em coordenadas mundiais.
		Convert world coordinates into pixel coordinates.	Converter coordenadas mundiais em coordenadas de pixel.
		LUA FUNCTIONS	FUNÇÕES DE LUA
		The following global lua functions are available:\n\n- pairs\n- ipairs\n- next\n- tostring\n- tonumber\n\nand additional functions are available through the following lua libraries:\n\n- math\n- table\n- string\n\nFor full documentation of the functions provided by these libraries, visit https://www.lua.org/manual/.	As seguintes funções de lua globais estão disponíveis: \ n \ pares n- \ n- ipairs \ n- próxima \ n- tostring \ n- tonumber \ n \ ne funções adicionais estão disponíveis através dos seguintes bibliotecas Lua: \ n \ matemática n- \ mesa \ n- corda n- \ n \ nPara documentação completa das funções fornecidas por essas bibliotecas, visitar https://www.lua.org/manual/.
		META FROM THE DEVS	META DA DEVS
		This scripting API is very powerful and as such there are some important reminders to take note of:\n\n- Your script has a max execution time of 1000 milliseconds, however it is still possible to create scripts that significantly slow down the game. It is your responsibility to ensure your script runs efficiently.\n\n- Random number functions are provided by the Lua math library. Use of randomness in your scripts is likely to cause desync in multiplayer, so use these functions at your own risk.\n\n- When your vehicle despawns and respawns, your script will be executed 'fresh' and any state stored within the script will be lost. We recommend keeping your script as stateless as possible, and making use of existing logic components (e.g. memory register) to store values that you wish to persist.\n\n- Your scripts run as a 'black box' with only the logic inputs/outputs being synced in multiplayer. Keep in mind that complex logic in your script may behave differently for different players in a multiplayer session.\n\n- A number of safeguards are in place to sandbox your script, however it is still possible to write scripts that will potentially crash your game. If you crash your game with a script, it's likely that you're doing something (very) wrong. This is your own responsibility. If you suspect you have encountered a legitimate bug, please report it on the Stormworks issue tracker (accessible from the pause-menu).\n\n- Malicious and harmful scripts will not be tolerated on the Stormworks Steam Workshop.\n\nFinally, enjoy the almost limitless possibilities that these scripts provide. This short wiki aims to give a good overview of how scripting in Stormworks works, however if you have any questions that are not covered here, please feel free to join us on Discord (accessible from the pause-menu)!	Este scripting API é muito poderoso e, como tal, existem alguns lembretes importantes a tomar nota de: \ n \ n- Seu script tem um tempo de execução máximo de 1000 milissegundos, no entanto, ainda é possível criar scripts que desacelerar significativamente o jogo. É de sua responsabilidade para garantir o script é executado de forma eficiente. \ N \ n- funções de números aleatórios são fornecidos pela biblioteca matemática Lua. Uso de aleatoriedade em seus scripts é provável que causa dessincronização no multiplayer, então usar essas funções em seu próprio risco. \ N \ n- Quando seus despawns e respawns veículo, seu script será executado 'fresco' e qualquer estado armazenado dentro do script será perdido. Recomendamos manter o seu script como apátrida possível, e fazendo uso de componentes de lógica existentes (por exemplo, registro de memória) para armazenar valores que você deseja persistir. \ N \ n- seus scripts são executados como uma 'caixa preta', com apenas as entradas lógicas / saídas sendo sincronizado em vários jogadores. Tenha em mente que a lógica complexa em seu script pode se comportar de forma diferente para diferentes jogadores em uma sessão multiplayer. \ N \ n- Uma série de salvaguardas estão no local para sandbox seu script, no entanto, ainda é possível scripts de gravação que será potencialmente travar o seu jogos. Se você travar o seu jogo com um script, é provável que você está fazendo algo (muito) errado. Esta é a sua própria responsabilidade. Se você suspeita que encontrou um bug legítima, por favor, reporte-o no issue tracker Stormworks (acessível a partir do menu de pausa). \ N \ n- malicioso e scripts perigosos não será tolerada nas Stormworks Steam Workshop. \ N \ nFinalmente , apreciar as possibilidades quase ilimitadas que esses scripts fornecem. Esta curta objetivos wiki para dar uma boa visão geral de como scripting em Stormworks funciona, no entanto, se você tiver alguma dúvida que não são cobertos aqui, sinta-se livre para se juntar a nós na Discord (acessíveis a partir do menu de pausa)!
		TOUCHSCREEN DATA	TOUCHSCREEN DADOS
		The composite output from the monitors contains data that can be interpreted in your script to create touchscreens. The layout of the composite data is as follows:\n\nNumber Channels\n1: monitorResolutionX\n2: monitorResolutionY\n3: input1X\n4: input1Y\n5: input2X\n6: input2Y\n\nOn/Off Channels:\n1: isInput1Pressed\n2: isInput2Pressed\n\nThis is an example of a script that outputs a signal on composite channel 1 if the player is pressing the screen within a specific rectangle:	A saída composta dos monitores contém dados que podem ser interpretados no seu script para criar telas sensíveis ao toque. A disposição dos dados composto é como se segue: \ n \ nNúmero Canais \ n1: monitorResolutionX \ n2: monitorResolutionY \ n3: input1X \ n4: input1Y \ n5: input2X \ n6: input2Y \ n \ NON / Off Canais: \ n1: isInput1Pressed \ n2: isInput2Pressed \ n \ n Este é um exemplo de um script que emite um sinal no canal composto 1 se o jogador está a pressionar a tela dentro de um rectângulo específica:
		Check Errors	verificar os erros
		Script	Roteiro
		Help	Socorro
		Burn Rate	taxa de queima
		Infrared	Infravermelho
		Default to Active	Padrão para o Active
		sec	seg
		rps	RPS
		Muzzle Velocity	focinho Velocity
		Helicopters	Helicopters
		Planes	Planes
		Heavy Aircraft	aviões pesados
		Jets	Jatos
		Afterburner	Afterburner
		VTOL	VTOL
		Large Jets	Jets grandes
		Jet Ducting	Jet Dutos
		Solid Rockets	Rockets sólidos
		Doors	portas
		Docking Doors	Docking Portas
		Custom Doors	Portas personalizadas
		Large Boats	Barcos grandes
		Shipping	Remessa
		Navigation	Navegação
		Radar and Sonar	Radar e Sonar
		Rescue Equipment	Equipamento de salvamento
		Diving Equipment	Equipamento de mergulho
		Deep Sea Diving	Mergulho do mar profundo
		Firefighting Equipment	Equipamento de combate a incêndios
		Advanced Rescue Equipment	Equipamento de salvamento Avançada
		Arctic Rescue	Resgate Arctic
		Sensors	sensores
		Advanced Sensors	Sensores avançados
		Weather Sensors	Sensores tempo
		Buttons	botões
		Keypads	teclados
		Displays	Displays
		Advanced Displays	Displays avançados
		Video Equipment	Equipamento de vídeo
		Basic Mechanics	Mecânica básica
		Compact Mechanics	Mecânica compactos
		Land Vehicles	veículos Land
		Heavy Land Vehicles	Pesados ​​veículos terrestres
		Trains	trens
		Tank Tracks Small	Trilhas do tanque pequeno
		Tank Tracks Medium	Trilhas do tanque Médio
		Tank Tracks Large	Trilhas do tanque Grande
		Arctic Land Vehicles	Arctic veículos terrestres
		Decorations	decorações
		Railings	trilhos
		Basic Logic	Logic Básico
		Functions	Funções
		Behaviour	Comportamento
		Advanced Logic	Lógica avançada
		Electrics	electrics
		High Capacity Electrics	High Capacity Electrics
		Radio RX	rádio RX
		Fluid Management	Fluid Management
		Advanced Fluid Management	Fluid Management Avançada
		Water Jets	Jactos de água
		UNLOCKS	desbloqueia
		RESEARCH PATH	PATH RESEARCH
		Begin Research	comece Research
		Keep Vehicle Active	Mantenha veículo ativo
		Fire Extinguished	fogo extinto
		Reported Forest Fires	Incêndios florestais relatados
		Put out forest fire	Colocar para fora incêndios florestais
		Put out this forest fire that will cause major environmental damage.	Apagar esse incêndio florestal que irá causar grandes danos ambientais.
		A forest fire has appeared that threatens local flora and fauna.	Um incêndio florestal já apareceu que ameaça a flora ea fauna locais.
		An uncontrolled blaze has sprung up, decimating the natural scenery.	Um incêndio descontrolado surgiu, dizimando a paisagem natural.
		Extinguish the wildfire before is gets out of control.	Extinguir o fogo antes é fica fora de controle.
		A forest fire needs to be extinguished.	Um incêndio florestal precisa ser extinta.
		Begin	Início
		End	Fim
		Hardware	ferragens
		Config	configuração
		Settling	liquidação
		Returning to menu	Voltando ao menu
		OS	OS
		CPU	CPU
		RAM	RAM
		GPU Vendor	GPU Vendor
		GPU	GPU
		Min/Avg/Max	Min / avg / Max
		Samples	amostras
		Frame	Quadro, Armação
		Thread	Fio
		Framerate (FPS)	Taxa de quadros (FPS)
		Frame Time (ms)	Período de tempo (ms)
		CPU Active Time (ms)	CPU Active Time (ms)
		CPU Utilization	Utilização da CPU
		FPS	FPS
		Vehicle editing is disabled.	edição veículo está desativado.
		Not authorised to use workbench.	Não autorizado a usar bancada.
		Detailed	Detalhado
		Simple	Simples
def_01_block_name		Block	Quadra
def_01_block_desc		The block is a quarter-metre in size. Components can be attached to all 6 faces.	O bloco é um quarto de metro de tamanho. Os componentes podem ser ligados a todos os 6 faces.
def_01_block_s_desc		Basic cube-shaped building block.	bloco de construção em forma de cubo Basic.
def_01_block_static_name		Static Block	estática Bloco
def_01_block_static_desc		This block cannot be removed.	Este bloco não pode ser removido.
def_01_block_static_s_desc		Static root block used as a base for all vehicles.	bloco raiz estático utilizado como uma base para todos os veículos.
def_01_block_weight_name		Weight Block	Bloco de peso
def_01_block_weight_desc		Weight blocks have a larger impact on the vehicle's centre of mass, making them useful for balance and stability.	blocos de peso têm um impacto maior no centro de massa do veículo, tornando-os úteis para o equilíbrio e estabilidade.
def_01_block_weight_s_desc		Basic cube-shaped building block with an increased mass.	bloco de construção cubo em forma básica com uma massa aumentada.
def_02_wedge_name		Wedge	Cunha
def_02_wedge_desc		Components can be attached to all faces, with the exception of the sloped face.	Os componentes podem ser anexado a todas as faces, com exceção da face inclinada.
def_02_wedge_s_desc		Basic wedge-shaped building block.	bloco de construção em forma de cunha Basic.
def_03_pyramid_name		Pyramid	Pirâmide
def_03_pyramid_desc		Components can be attached to all faces, with the exception of the triangular face. Pyramids can act as a corner-piece for perpendicular lines of wedge blocks.	Os componentes podem ser anexado a todas as faces, com exceção do rosto triangular. Pirâmides podem agir como um canto peça para linhas perpendiculares de blocos de cunha.
def_03_pyramid_s_desc		Basic pyramid-shaped building block. 	bloco de construção em forma de pirâmide Basic.
def_04_invpyramid_name		Inverse Pyramid	Pirâmide inversa
def_04_invpyramid_desc		Components can be attached to all faces, with the exception of the triangular face. Inverse pyramids are useful for closing gaps between perpendicular lines of wedge and pyramid blocks.	Os componentes podem ser anexado a todas as faces, com exceção do rosto triangular. pirâmides inversos são úteis para preencher as lacunas entre as linhas perpendiculares de blocos de cunha e de pirâmide.
def_04_invpyramid_s_desc		Basic inverse pyramid-shaped building block.	inversa básica pirâmide em forma de bloco de construção.
def_05_wedge_2_name		Wedge 1x2	1x2 Wedge
def_05_wedge_2_desc		Components can be attached to all faces, with the exception of the sloped face.	Os componentes podem ser anexado a todas as faces, com exceção da face inclinada.
def_05_wedge_2_s_desc		1x2 wedge-shaped building block.	1x2 em forma de cunha construção de bloco.
def_06_pyramid_2_name		Pyramid 1x2	Pyramid 1x2
def_06_pyramid_2_desc		Components can be attached to all faces, with the exception of the triangular face. Pyramids can act as a corner-piece for perpendicular lines of wedge blocks.	Os componentes podem ser anexado a todas as faces, com exceção do rosto triangular. Pirâmides podem agir como um canto peça para linhas perpendiculares de blocos de cunha.
def_06_pyramid_2_s_desc		1x2 pyramid-shaped building block. 	1x2 pirâmide em forma de bloco de construção.
def_07_invpyramid_2_name		Inverse pyramid 1x2	Inverse pirâmide 1x2
def_07_invpyramid_2_desc		Components can be attached to all faces, with the exception of the triangular face. Inverse pyramids are useful for closing gaps between perpendicular lines of wedge and pyramid blocks.	Os componentes podem ser anexado a todas as faces, com exceção do rosto triangular. pirâmides inversos são úteis para preencher as lacunas entre as linhas perpendiculares de blocos de cunha e de pirâmide.
def_07_invpyramid_2_s_desc		1x2 inverse pyramid-shaped building block.	1x2 inversa bloco de construção em forma de pirâmide.
def_08_wedge_4_name		Wedge 1x4	1x4 Wedge
def_08_wedge_4_desc		Components can be attached to all faces, with the exception of the sloped face.	Os componentes podem ser anexado a todas as faces, com exceção da face inclinada.
def_08_wedge_4_s_desc		1x4 wedge-shaped building block.	1x4 em forma de cunha construção de bloco.
def_09_pyramid_4_name		Pyramid 1x4	Pyramid 1x4
def_09_pyramid_4_desc		Components can be attached to all faces, with the exception of the triangular face. Pyramids can act as a corner-piece for perpendicular lines of wedge blocks.	Os componentes podem ser anexado a todas as faces, com exceção do rosto triangular. Pirâmides podem agir como um canto peça para linhas perpendiculares de blocos de cunha.
def_09_pyramid_4_s_desc		1x4 pyramid-shaped building block. 	1x4 pirâmide em forma de bloco de construção.
def_10_invpyramid_4_name		Inverse Pyramid 1x4	Inverse Pyramid 1x4
def_10_invpyramid_4_desc		Components can be attached to all faces, with the exception of the triangular face. Inverse pyramids are useful for closing gaps between perpendicular lines of wedge and pyramid blocks.	Os componentes podem ser anexado a todas as faces, com exceção do rosto triangular. pirâmides inversos são úteis para preencher as lacunas entre as linhas perpendiculares de blocos de cunha e de pirâmide.
def_10_invpyramid_4_s_desc		1x4 inverse pyramid-shaped building block.	1x4 inversa bloco de construção em forma de pirâmide.
def_11_pyramid_2x2_name		Pyramid 2x2	Pyramid 2x2
def_11_pyramid_2x2_desc		Components can be attached to all faces, with the exception of the triangular face. Pyramids can act as a corner-piece for perpendicular lines of wedge blocks.	Os componentes podem ser anexado a todas as faces, com exceção do rosto triangular. Pirâmides podem agir como um canto peça para linhas perpendiculares de blocos de cunha.
def_11_pyramid_2x2_s_desc		2x2 pyramid-shaped building block. 	2x2 pirâmide em forma de bloco de construção.
def_12_pyramid_2x4_name		Pyramid 2x4	Pyramid 2x4
def_12_pyramid_2x4_desc		Components can be attached to all faces, with the exception of the triangular face. Pyramids can act as a corner-piece for perpendicular lines of wedge blocks.	Os componentes podem ser anexado a todas as faces, com exceção do rosto triangular. Pirâmides podem agir como um canto peça para linhas perpendiculares de blocos de cunha.
def_12_pyramid_2x4_s_desc		2x4 pyramid-shaped building block. 	2x4 pirâmide em forma de bloco de construção.
def_13_pyramid_4x4_name		Pyramid 4x4	Pyramid 4x4
def_13_pyramid_4x4_desc		Components can be attached to all faces, with the exception of the triangular face. Pyramids can act as a corner-piece for perpendicular lines of wedge blocks.	Os componentes podem ser anexado a todas as faces, com exceção do rosto triangular. Pirâmides podem agir como um canto peça para linhas perpendiculares de blocos de cunha.
